,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TAL1,2.7588343880966333,-3.2622086491428246,0.48979736034912225,-6.660323050368335,2.7322634617382346e-11,5.727622405129241e-09
AC027288.3,4.238589393935603,-4.307141324025674,0.6473166910327935,-6.653839432370625,2.8554418851379625e-11,5.919331027890996e-09
DACH1,3.1989897254126953,-3.1767774891279337,0.4787427090691363,-6.635667612160268,3.230370517854821e-11,6.622969533144768e-09
B3GNT2,45.30161950490052,-1.1809893257739814,0.17821499761755044,-6.62676734035811,3.4311778115685074e-11,6.958204829394961e-09
UPK3B,46.79081236194396,-5.753325486695343,0.8691998164257788,-6.6191057314686175,3.613783172171333e-11,7.249715337978556e-09
GPA33,3.3678033809377648,-4.1779040261541835,0.6340318122603447,-6.589423346534957,4.4153812101056223e-11,8.763592259248999e-09
PKNOX2,3.0895718284087117,-3.1595440216358766,0.4797641918948667,-6.585618674784809,4.529950916524025e-11,8.896346763114604e-09
DENND3,12.399725338848535,-1.9599736279569178,0.2978548429417215,-6.5802980022064235,4.6950629251394416e-11,9.124561353575684e-09
BTNL9,7.997946685712207,-3.812792232504369,0.5795727522318491,-6.578625751162161,4.7481620769055295e-11,9.132624728744997e-09
NPNT,48.898979051985954,-2.6264864297741224,0.3997688799482313,-6.57001222835115,5.03111300613572e-11,9.57810973015042e-09
ADRB2,16.71121706805931,-3.446353365810021,0.5249358154722668,-6.5652852486536,5.193334942937192e-11,9.787075760644364e-09
CRABP2,410.8813620082151,6.113140930136781,0.9326287309318132,6.554742232773578,5.5738070388402906e-11,1.039905179236433e-08
SLC19A3,2.816265708323391,-3.760695294754805,0.5753118482074506,-6.536794447172141,6.28513345798864e-11,1.1610072764920204e-08
PNPLA6,36.69900081118873,-1.436156927539029,0.22009126359439837,-6.525279123235407,6.787501359774722e-11,1.2415138516599704e-08
FRMD3,2.8148947353961176,-3.0323154855497445,0.46602354822142233,-6.506785970628671,7.67756754788644e-11,1.3906832790380323e-08
AC026369.3,7.8379867242895385,-4.61192349209574,0.7133849990980611,-6.464845066726432,1.014026498663178e-10,1.814126573378994e-08
MME,6.900165662078852,-3.514937934089372,0.5437871277760022,-6.46381231653069,1.0209749166789643e-10,1.814126573378994e-08
NDST1,42.854295456266115,-1.9903704059971006,0.3081239615824383,-6.459641748649199,1.0495113947214943e-10,1.8472390652187662e-08
ELAPOR2,10.828534913882962,-2.4335710735580007,0.37701626119083614,-6.454817269343691,1.0834955838728904e-10,1.8892315054501414e-08
HIGD1B,13.508379618802586,-3.2344167045076095,0.5012885766354381,-6.452205087569426,1.1023425823584504e-10,1.9042968110242232e-08
PHACTR2,13.414222580573146,-1.6934524803591429,0.26356924953680544,-6.425076079000881,1.3180358088305059e-10,2.2560178059954817e-08
HPS5,17.89592520777334,-1.4067366043288607,0.21957016249755096,-6.406774892943622,1.486300110309896e-10,2.5209001052774296e-08
CCL23,6.889829366772001,-3.5521978212184417,0.5549189314065901,-6.401291468313125,1.5406813400942284e-10,2.5895938524448667e-08
ADTRP,3.3068449167586844,-3.062130775472134,0.47904738967302374,-6.392124957746262,1.635961159750764e-10,2.7251899426312502e-08
SCN4B,6.325696110691625,-3.1277702730796735,0.48950501503244254,-6.389659302821191,1.6625575638252942e-10,2.7449855281671252e-08
PECAM1,127.67713965229187,-2.4149011650103436,0.37904139955115734,-6.371074948198149,1.8770787911217072e-10,3.071987632101552e-08
CLIC5,29.441015634003733,-4.6745918355255025,0.7356582236522101,-6.354298348380135,2.0938011148175415e-10,3.396873686882684e-08
SPOCK2,93.67938741859705,-3.6387818996056525,0.5729616910805821,-6.3508293071794375,2.1415723633136353e-10,3.444423757098491e-08
PELATON,8.979642163408986,-2.7915297725853514,0.43989044312923864,-6.345965947173823,2.2103412663153702e-10,3.5121788016435914e-08
AC104984.4,2.5627356700162176,-5.8395474469812,0.9203092608555647,-6.34520122241568,2.2213490839574627e-10,3.5121788016435914e-08
PYCR1,86.70059675707027,3.463075981391566,0.5470334572772121,6.330647486588072,2.4413453104356856e-10,3.827578105613327e-08
GNAQ,42.905343546313105,-1.5953127196009989,0.2527543143865651,-6.311713109518324,2.759634516804779e-10,4.2628293502467297e-08
SPRYD7,15.085314291305812,-1.5209717725722822,0.24098680797480715,-6.3114316727714215,2.7646585805855943e-10,4.2628293502467297e-08
ALKAL2,2.471733156586029,-3.913505543740191,0.6219632720030633,-6.2921810979875925,3.1303596755150597e-10,4.787141021810202e-08
IGHV1-69D,596.1145003279549,6.235335337449161,0.9917054023347707,6.287487516725551,3.2264494641504365e-10,4.893972979890626e-08
STARD13,7.237949126648922,-2.0585043291741476,0.32766232367842,-6.282395565241855,3.3339523009574213e-10,5.0162538773356945e-08
THRA,17.50675416747038,-1.3166786246959095,0.21021101285514798,-6.263604398325245,3.761791010308314e-10,5.6026855752161055e-08
AC093890.1,2.0499279264280035,-3.342463803962988,0.5337100301172315,-6.262696249551096,3.7837722167402544e-10,5.6026855752161055e-08
