,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SH3D19,35.53224249820597,-1.8168685860209217,0.4250469255641936,-4.274512946092408,1.9155557536636947e-05,0.0022584077665228235
F8,7.161773229512514,-1.8465509087960323,0.43269616384101134,-4.267546290229011,1.9763476988198834e-05,0.002316990099942322
GNG2,11.927073596633427,-2.0196232290418714,0.47381177030324917,-4.26250117794514,2.0215143282566783e-05,0.0023567017319586795
RCAN1,30.11892220629994,-2.0667530151397338,0.4857445513607535,-4.254814612639462,2.0922228997185473e-05,0.0024143755541311956
AACS,12.234384937414449,-1.0796464866415398,0.2538327012075465,-4.253378234976769,2.1056946082608664e-05,0.0024143755541311956
BOC,8.787792256190254,-2.2509212422325926,0.5291199863246081,-4.254084707455527,2.099058353772533e-05,0.0024143755541311956
GABARAPL1,41.058202836061334,-1.493485659908637,0.3514212753134195,-4.2498441751332585,2.139192797562389e-05,0.0024359677883480273
TLN2,9.429495024437635,-1.6907718630885953,0.397928198670206,-4.248937041252182,2.1478726905119657e-05,0.0024359677883480273
NRG2,1.1003828278429744,-3.8850046100733917,0.9182881812270917,-4.230703051063917,2.329620434657009e-05,0.002627811850293106
NTRK2,10.821691317795455,-3.246004237745664,0.7679110396555683,-4.227057653971998,2.3676701743785905e-05,0.0026563731827383024
LINC02544,19.581857038612952,3.99159061859588,0.9446554817490213,4.2254458855258905,2.3846812717334964e-05,0.0026611512715793905
GNG7,8.544482448547278,-1.8097361049080847,0.42889721407527526,-4.2195100493016025,2.448338102807692e-05,0.0027176552941165382
AQP7,12.657591098118584,-5.362277326127573,1.2722826218021805,-4.214690379510127,2.5012108836027905e-05,0.0027616544295779384
AC134043.3,1.545356012381582,-3.3811009022027623,0.8030694019087645,-4.210222546353327,2.5511925792866302e-05,0.0028020150918186
F10,3.9167632197908997,-2.6581638618853485,0.6320480631490217,-4.205635642077139,2.6034938398931228e-05,0.0028210506827967153
CAVIN2,23.82093424733081,-3.7371740444510846,0.8885877233789432,-4.205745753767685,2.6022264533530585e-05,0.0028210506827967153
TSHZ2,5.642316401840075,-2.2466389544748506,0.5342588151889792,-4.20515093172616,2.6090798436829886e-05,0.0028210506827967153
CEACAM6,527.6418268503297,6.551949635066427,1.5619836007990582,4.194634074080336,2.733124512613206e-05,0.0029399403262480605
LDB2,11.928091477629298,-2.004042386765909,0.4781626576046578,-4.191131103388756,2.7756720409794434e-05,0.0029703961103158477
ANTXR2,17.83357319128408,-1.6776594160367517,0.4013802026448092,-4.179726366627384,2.9186006910230324e-05,0.0031074162867484
CRHBP,2.4460944795329698,-4.869379054609393,1.1658891420380384,-4.176536927085066,2.9598071191907153e-05,0.003135292130115322
G0S2,231.14011419323353,-4.865157236987919,1.1677793230252635,-4.166161483647597,3.097713131355175e-05,0.0032648019002585755
AIFM2,18.452325054859976,-1.9768638891631458,0.4769333393024909,-4.144947996410326,3.398908374521069e-05,0.0035558581394695265
PI15,9.48035626510545,-3.5872626663622413,0.865581380441797,-4.1443389927487635,3.407952980131806e-05,0.0035558581394695265
CCDC69,28.283247937392773,-2.9821166713873333,0.7216944689026038,-4.132104096518695,3.5945755291830485e-05,0.0037319205046264605
GLYAT,3.1969331124386646,-5.507244104718549,1.3338961626481256,-4.128690267603184,3.6483546864507925e-05,0.003769003247369066
MYH11,18.103680454365044,-2.801161338945366,0.6797757523003767,-4.120713822854334,3.777003443031495e-05,0.0038826851157232134
PCK1,14.979689025175599,-6.538381725288728,1.5874425369635632,-4.118814743238044,3.808261494654034e-05,0.003895627493649038
TPX2,67.6659773019547,2.788893791033978,0.6780353684221117,4.113198102813052,3.9021524749615395e-05,0.00397220087060963
SRPX,52.97396137898351,-2.4481002739909092,0.5955172657191183,-4.1108804310395595,3.941532839987896e-05,0.003992811034216865
CCN4,23.367850400081913,3.1077872515001146,0.7563293487993646,4.10903960878098,3.97307935188565e-05,0.004005324633582113
INKA2,4.243669737050301,-1.7197367365706269,0.4187007734581418,-4.107316837193642,4.002819749236471e-05,0.00401590589072436
PLIN1,167.20663553186745,-5.308082339340096,1.2929216108313433,-4.105494327631373,4.0345118459796626e-05,0.0040283346029618946
PKDCC,11.070717295852594,-2.7534234392858483,0.6718922854909459,-4.098013176731067,4.1671156461469745e-05,0.004140922347799765
PYGM,1.5030203831681235,-3.5756920409582347,0.8745239945523198,-4.088729483961933,4.337423152401431e-05,0.004289732054232847
SCN4A,1.6032298329185506,-3.7012012651644146,0.9058809912494832,-4.085747797908135,4.393508186585707e-05,0.004324704190456157
PLIN4,192.63338349538287,-5.640715082209079,1.3823099092956113,-4.080644321708898,4.491103356565734e-05,0.004400016189897358
MMP28,8.176687668015685,-2.4715473082252144,0.6063015996675624,-4.076432108344055,4.573199983785667e-05,0.004459511086992491
RBP4,115.71170218745152,-5.562099317956312,1.3656722485685564,-4.072792226528938,4.6452861229048026e-05,0.004508736316873369
SCARA5,6.571686849982201,-4.440665766236162,1.0913086120925795,-4.069120061025822,4.719102634666804e-05,0.0045591774898253185
ADH5,77.83251079794695,-0.9791468325014694,0.24073703331903462,-4.067287940712735,4.756345795569325e-05,0.004573982675665469
UBE2C,109.11497401325136,3.5979156353885253,0.8869874208275977,4.056332199200203,4.984934595525958e-05,0.004771817208230995
ESRP1,105.72182854828446,1.581181380216914,0.38997102535966977,4.054612464499362,5.021748592810593e-05,0.004785107289258971
GPATCH11,14.372885513505716,-1.3195740573729322,0.3262849152477797,-4.044238626143204,5.249343340692758e-05,0.004979240765162567
